age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi,actual_emi_eligibility,predicted_emi_eligibility,prediction_correct,prediction_error
38.0,Male,Married,Post Graduate,90800.0,Government,6.4,Mid-size,Rented,25300.0,5,4,5100.0,0.0,9800.0,25600.0,15500.0,No,0.0,835.0,140900.0,81100.0,E-commerce Shopping EMI,34000.0,7,Not_Eligible,5016.0,Not_Eligible,High_Risk,False,True
38.0,Male,Married,High School,26100.0,Private,9.2,MNC,Rented,4800.0,4,3,0.0,0.0,2800.0,7100.0,2000.0,No,0.0,755.0,112100.0,52900.0,Personal Loan EMI,206000.0,52,Not_Eligible,5640.0,Not_Eligible,High_Risk,False,True
38.0,Female,Married,Professional,95900.0,Private,16.0,Startup,Own,0.0,4,3,8000.0,0.0,7900.0,27900.0,10500.0,No,0.0,850.0,187700.0,43100.0,Vehicle EMI,731000.0,55,High_Risk,19968.0,High_Risk,Eligible,False,True
32.0,Male,Married,High School,46800.0,Private,0.5,Large Indian,Own,0.0,3,2,3600.0,0.0,3500.0,9800.0,7600.0,Yes,7400.0,750.0,213500.0,93600.0,E-commerce Shopping EMI,58000.0,13,High_Risk,5006.4,High_Risk,Not_Eligible,False,True
32.0,Female,Married,Post Graduate,78700.0,Private,4.9,MNC,Rented,17300.0,3,2,2600.0,12300.0,7500.0,14100.0,14000.0,No,0.0,691.0,147800.0,64600.0,E-commerce Shopping EMI,32000.0,9,High_Risk,4360.0,High_Risk,Eligible,False,True
32.0,Male,Single,Post Graduate,23400.0,Private,1.4,Mid-size,Rented,4700.0,1,0,0.0,0.0,2900.0,5800.0,2400.0,No,0.0,710.0,73400.0,32500.0,Home Appliances EMI,75000.0,24,High_Risk,3800.0,High_Risk,Not_Eligible,False,True
27.0,Male,Single,Graduate,34900.0,Private,0.7,Large Indian,Family,0.0,1,0,0.0,0.0,2100.0,7600.0,5000.0,No,0.0,626.0,126600.0,54400.0,Education EMI,151000.0,35,High_Risk,6464.0,High_Risk,Eligible,False,True
27.0,Male,Single,Graduate,33300.0,Government,0.5,Startup,Family,0.0,1,0,0.0,0.0,1700.0,5800.0,5300.0,Yes,6400.0,650.0,53100.0,16700.0,E-commerce Shopping EMI,81000.0,24,High_Risk,3948.0,High_Risk,Not_Eligible,False,True
38.0,Male,Married,Post Graduate,120300.0,Self-employed,7.0,Mid-size,Own,0.0,2,1,13200.0,0.0,7300.0,18600.0,6300.0,Yes,33000.0,733.0,939300.0,433300.0,Education EMI,386000.0,30,Not_Eligible,14518.35,Not_Eligible,High_Risk,False,True
48.0,Female,Married,Post Graduate,49100.0,Private,16.8,Large Indian,Own,0.0,2,1,7100.0,0.0,3400.0,11400.0,3600.0,Yes,11600.0,543.0,232000.0,70700.0,E-commerce Shopping EMI,46000.0,20,Not_Eligible,2100.0,Not_Eligible,High_Risk,False,True
38.0,Male,Single,Graduate,56200.0,Private,2.8,Startup,Rented,10900.0,2,1,14000.0,0.0,8400.0,9700.0,9200.0,No,0.0,684.0,135200.0,77400.0,Home Appliances EMI,54000.0,33,High_Risk,2000.0,High_Risk,Not_Eligible,False,True
58.0,Female,Married,Graduate,73700.0,Private,5.2,MNC,Family,0.0,3,2,13200.0,0.0,8400.0,12000.0,7200.0,No,0.0,669.0,136300.0,70600.0,Education EMI,225000.0,24,High_Risk,13160.0,High_Risk,Eligible,False,True
38.0,Male,Single,High School,35000.0,Private,4.0,Startup,Family,0.0,2,1,9600.0,0.0,4500.0,8900.0,1800.0,No,0.0,686.0,213600.0,65400.0,E-commerce Shopping EMI,88000.0,18,High_Risk,5610.0,High_Risk,Not_Eligible,False,True
38.0,Male,Married,Professional,57500.0,Private,0.5,Large Indian,Rented,9500.0,3,2,0.0,0.0,8200.0,14700.0,7800.0,No,0.0,704.0,105500.0,53300.0,Home Appliances EMI,93000.0,17,Not_Eligible,5536.0,Not_Eligible,High_Risk,False,True
27.0,Male,Married,Graduate,49300.0,Government,2.9,Large Indian,Rented,12300.0,2,1,0.0,0.0,4200.0,14800.0,3100.0,No,0.0,724.0,273200.0,159100.0,Home Appliances EMI,150000.0,29,High_Risk,7450.0,High_Risk,Eligible,False,True
48.0,Male,Married,Graduate,48900.0,Private,20.8,MNC,Own,0.0,3,2,2900.0,0.0,5100.0,9000.0,2600.0,Yes,11500.0,598.0,41900.0,11800.0,Education EMI,71000.0,21,High_Risk,3987.2,High_Risk,Not_Eligible,False,True
32.0,Male,Married,Professional,108700.0,Private,0.5,MNC,Own,0.0,3,2,12200.0,7400.0,6400.0,23100.0,9800.0,Yes,23200.0,696.0,750500.0,342100.0,Home Appliances EMI,176000.0,30,High_Risk,8192.8,High_Risk,Eligible,False,True
27.0,Male,Married,Post Graduate,113000.0,Private,1.0,MNC,Own,0.0,4,3,6400.0,0.0,7900.0,30700.0,11400.0,Yes,18700.0,623.0,364000.0,185900.0,Personal Loan EMI,388000.0,54,High_Risk,10612.0,High_Risk,Not_Eligible,False,True
48.0,Male,Married,Professional,128000.0,Private,0.5,MNC,Own,0.0,5,4,0.0,24100.0,9700.0,36600.0,9800.0,No,0.0,587.0,281000.0,69400.0,E-commerce Shopping EMI,119000.0,11,Eligible,15296.0,Eligible,High_Risk,False,True
38.0,Male,Married,Graduate,30200.0,Private,8.6,Large Indian,Family,0.0,4,3,3200.0,0.0,3600.0,4800.0,3100.0,No,0.0,744.0,92500.0,35700.0,Education EMI,214000.0,35,High_Risk,7750.0,High_Risk,Not_Eligible,False,True
38.0,Female,Married,High School,75100.0,Private,3.8,Small,Own,0.0,2,1,5200.0,0.0,5300.0,15500.0,8200.0,No,0.0,699.0,182900.0,70200.0,Education EMI,355000.0,20,High_Risk,20450.0,High_Risk,Not_Eligible,False,True
32.0,Female,Married,Post Graduate,91600.0,Government,1.3,Large Indian,Family,0.0,5,4,0.0,0.0,9900.0,18400.0,7400.0,No,0.0,705.0,154000.0,81400.0,Personal Loan EMI,959000.0,59,Not_Eligible,22360.0,Not_Eligible,High_Risk,False,True
32.0,Female,Single,Post Graduate,47900.0,Private,1.0,Mid-size,Own,0.0,1,0,0.0,0.0,3100.0,7700.0,6200.0,No,0.0,649.0,66100.0,19700.0,Education EMI,167000.0,24,High_Risk,9888.0,High_Risk,Eligible,False,True
38.0,Male,Married,Professional,60600.0,Private,9.2,Mid-size,Family,0.0,2,1,0.0,0.0,5100.0,10500.0,4600.0,Yes,7000.0,755.0,344200.0,201000.0,Personal Loan EMI,434000.0,55,High_Risk,14028.0,High_Risk,Eligible,False,True
38.0,Male,Married,Graduate,90100.0,Government,5.4,Startup,Rented,17300.0,3,2,0.0,0.0,6500.0,15600.0,11600.0,No,0.0,681.0,555300.0,288400.0,Home Appliances EMI,289000.0,14,High_Risk,23655.5,High_Risk,Not_Eligible,False,True
48.0,Male,Married,Post Graduate,116500.0,Government,16.0,MNC,Family,0.0,5,4,13700.0,0.0,16700.0,32400.0,7000.0,No,0.0,781.0,229300.0,114900.0,Vehicle EMI,357000.0,18,High_Risk,24657.6,High_Risk,Eligible,False,True
32.0,Male,Single,High School,52300.0,Government,10.0,Large Indian,Rented,11300.0,3,2,4200.0,0.0,5100.0,8400.0,8800.0,No,0.0,714.0,105100.0,36400.0,E-commerce Shopping EMI,149000.0,22,High_Risk,7975.0,High_Risk,Not_Eligible,False,True
58.0,Male,Married,Post Graduate,69300.0,Private,20.6,MNC,Own,0.0,4,3,0.0,0.0,9600.0,15200.0,9300.0,No,0.0,669.0,70700.0,20200.0,Vehicle EMI,767000.0,76,High_Risk,14080.0,High_Risk,Not_Eligible,False,True
32.0,Male,Single,Graduate,51400.0,Private,5.6,Large Indian,Own,0.0,1,0,0.0,0.0,6000.0,8800.0,3600.0,Yes,5600.0,614.0,103900.0,51000.0,E-commerce Shopping EMI,77000.0,11,High_Risk,7672.0,High_Risk,Not_Eligible,False,True
27.0,Male,Single,Professional,43000.0,Private,0.5,Startup,Own,0.0,2,1,0.0,0.0,2200.0,8100.0,8300.0,No,0.0,791.0,343100.0,135400.0,Education EMI,350000.0,44,Eligible,12883.2,Eligible,High_Risk,False,True
48.0,Female,Married,High School,57400.0,Self-employed,1.4,Startup,Family,0.0,4,3,4300.0,5400.0,6900.0,10800.0,9100.0,No,0.0,708.0,147600.0,49700.0,Education EMI,260000.0,33,Not_Eligible,9405.0,Not_Eligible,High_Risk,False,True
58.0,Male,Married,Graduate,51700.0,Private,10.0,Large Indian,Family,0.0,3,2,3700.0,5700.0,3500.0,12400.0,7500.0,No,0.0,765.0,256300.0,138400.0,Personal Loan EMI,84000.0,13,Not_Eligible,5808.0,Not_Eligible,Eligible,False,True
32.0,Female,Married,Professional,69200.0,Private,5.9,Mid-size,Family,0.0,3,2,0.0,0.0,3800.0,16100.0,12300.0,Yes,16200.0,646.0,127500.0,50900.0,Vehicle EMI,176000.0,44,Not_Eligible,4659.2,Not_Eligible,High_Risk,False,True
27.0,Female,Single,Graduate,41500.0,Private,1.1,MNC,Rented,11600.0,1,0,0.0,0.0,2500.0,10800.0,2200.0,No,0.0,686.0,295700.0,120800.0,Home Appliances EMI,238000.0,36,High_Risk,7920.0,High_Risk,Not_Eligible,False,True
38.0,Male,Married,Professional,75900.0,Self-employed,1.0,Mid-size,Own,0.0,3,2,13400.0,0.0,8500.0,13700.0,10800.0,No,0.0,710.0,438700.0,138500.0,Home Appliances EMI,228000.0,23,High_Risk,13275.0,High_Risk,Eligible,False,True
48.0,Female,Married,Graduate,65900.0,Self-employed,1.8,Mid-size,Own,0.0,2,1,0.0,0.0,6100.0,12000.0,3800.0,No,0.0,655.0,119100.0,59600.0,Personal Loan EMI,490000.0,50,High_Risk,15840.0,High_Risk,Eligible,False,True
27.0,Male,Single,Post Graduate,64700.0,Private,0.6,MNC,Own,0.0,2,1,13600.0,0.0,4800.0,16500.0,12800.0,No,0.0,772.0,496000.0,179600.0,Home Appliances EMI,200000.0,25,Not_Eligible,8976.0,Not_Eligible,High_Risk,False,True
48.0,Male,Married,Professional,54600.0,Self-employed,10.8,Mid-size,Own,0.0,2,1,11800.0,0.0,3400.0,13400.0,7400.0,No,0.0,720.0,164100.0,64900.0,E-commerce Shopping EMI,124000.0,22,Eligible,8370.0,Eligible,High_Risk,False,True
32.0,Male,Single,Graduate,15000.0,Private,0.5,Mid-size,Own,7625.0,1,0,0.0,0.0,1900.0,3200.0,1400.0,No,0.0,690.0,61700.0,17200.0,Education EMI,98000.0,44,High_Risk,3400.0,High_Risk,Not_Eligible,False,True
38.0,Male,Married,Graduate,58400.0,Private,0.5,Large Indian,Rented,9300.0,3,2,0.0,0.0,5000.0,16100.0,7100.0,Yes,7000.0,493.0,81900.0,48900.0,Home Appliances EMI,41000.0,30,Not_Eligible,1556.8,Not_Eligible,High_Risk,False,True
32.0,Male,Married,Post Graduate,70100.0,Private,2.3,MNC,Family,0.0,4,3,5000.0,17300.0,4000.0,14800.0,8000.0,No,0.0,681.0,472800.0,154700.0,Home Appliances EMI,160000.0,20,Eligible,11550.0,Eligible,High_Risk,False,True
38.0,Female,Married,Graduate,65800.0,Private,8.7,Mid-size,Family,0.0,3,2,0.0,0.0,7300.0,16700.0,5300.0,No,0.0,740.0,120800.0,61600.0,Education EMI,308000.0,24,Not_Eligible,14600.0,Not_Eligible,High_Risk,False,True
27.0,Male,Single,Post Graduate,44000.0,Private,0.6,MNC,Own,0.0,2,1,9700.0,0.0,2700.0,8200.0,6900.0,No,0.0,691.0,221400.0,68700.0,Vehicle EMI,377000.0,79,High_Risk,6600.0,High_Risk,Not_Eligible,False,True
32.0,Female,Single,Professional,107800.0,Private,0.5,Large Indian,Own,0.0,3,2,12200.0,0.0,15700.0,23200.0,8900.0,No,0.0,666.0,712400.0,236900.0,Personal Loan EMI,565000.0,36,High_Risk,21032.0,High_Risk,Not_Eligible,False,True
48.0,Female,Married,Professional,39800.0,Private,6.5,Startup,Own,0.0,2,1,7900.0,0.0,4400.0,9800.0,5200.0,No,0.0,716.0,146800.0,62500.0,E-commerce Shopping EMI,47000.0,8,High_Risk,6250.0,High_Risk,Not_Eligible,False,True
27.0,Female,Single,Post Graduate,87200.0,Government,4.4,Large Indian,Rented,20600.0,1,0,0.0,0.0,5300.0,13800.0,5900.0,No,0.0,781.0,482600.0,245400.0,Personal Loan EMI,734000.0,34,Not_Eligible,27456.0,Not_Eligible,High_Risk,False,True
38.0,Male,Single,Post Graduate,73000.0,Private,3.9,Large Indian,Rented,18300.0,2,1,8500.0,0.0,4600.0,17700.0,13700.0,No,0.0,720.0,309400.0,65600.0,E-commerce Shopping EMI,38000.0,8,High_Risk,5100.0,High_Risk,Not_Eligible,False,True
48.0,Male,Married,Post Graduate,67200.0,Self-employed,14.0,MNC,Own,0.0,3,2,0.0,0.0,4800.0,13400.0,13300.0,No,0.0,779.0,78300.0,36700.0,Vehicle EMI,584000.0,57,High_Risk,15422.4,High_Risk,Eligible,False,True
48.0,Male,Married,Post Graduate,104100.0,Private,0.5,Mid-size,Rented,23300.0,4,3,3700.0,0.0,11300.0,29600.0,19500.0,No,0.0,806.0,810300.0,185700.0,E-commerce Shopping EMI,129000.0,19,High_Risk,8817.6,High_Risk,Eligible,False,True
38.0,Male,Married,Professional,79300.0,Private,5.2,Small,Own,0.0,5,4,10500.0,0.0,8600.0,12900.0,12600.0,No,0.0,715.0,445200.0,89500.0,E-commerce Shopping EMI,124000.0,9,High_Risk,17350.0,High_Risk,Eligible,False,True
38.0,Male,Married,Professional,91200.0,Private,8.3,Startup,Family,0.0,3,2,8900.0,0.0,7200.0,24300.0,9100.0,Yes,20600.0,753.0,344400.0,72200.0,E-commerce Shopping EMI,135000.0,18,High_Risk,8862.0,High_Risk,Not_Eligible,False,True
32.0,Male,Married,Post Graduate,25200.0,Private,6.7,Mid-size,Family,0.0,2,1,0.0,0.0,3100.0,5100.0,3900.0,No,0.0,680.0,85500.0,48100.0,Education EMI,190000.0,48,Eligible,6550.0,Eligible,High_Risk,False,True
38.0,Male,Married,High School,63200.0,Private,6.2,MNC,Rented,0.0,4,3,0.0,0.0,5600.0,14000.0,12500.0,No,0.0,691.0,112700.0,33400.0,Home Appliances EMI,127000.0,34,High_Risk,5040.0,High_Risk,Eligible,False,True
38.0,Male,Married,Graduate,95300.0,Private,0.7,Large Indian,Own,16310.0,4,3,0.0,0.0,8700.0,25700.0,12500.0,No,0.0,691.0,275900.0,81900.0,Home Appliances EMI,203000.0,16,Eligible,19360.0,Eligible,High_Risk,False,True
32.0,Male,Married,Graduate,69700.0,Government,0.5,MNC,Own,0.0,2,1,2200.0,0.0,6700.0,15700.0,4000.0,No,0.0,702.0,179700.0,65500.0,Education EMI,386000.0,29,Eligible,20550.0,Eligible,High_Risk,False,True
32.0,Male,Single,Post Graduate,70200.0,Private,8.5,Mid-size,Own,0.0,1,0,0.0,0.0,5700.0,12000.0,10600.0,Yes,7600.0,730.0,229500.0,55200.0,Vehicle EMI,339000.0,33,High_Risk,12005.0,High_Risk,Not_Eligible,False,True
32.0,Male,Married,Professional,135500.0,Private,0.5,Mid-size,Rented,41900.0,5,4,0.0,0.0,16000.0,21800.0,9200.0,Yes,21400.0,674.0,1036900.0,608800.0,Personal Loan EMI,186000.0,37,High_Risk,7761.6,High_Risk,Eligible,False,True
58.0,Female,Married,Post Graduate,42600.0,Self-employed,8.9,Large Indian,Own,0.0,5,4,2700.0,0.0,2500.0,11400.0,3900.0,Yes,12100.0,760.0,166400.0,41900.0,Personal Loan EMI,115000.0,43,High_Risk,3780.0,High_Risk,Not_Eligible,False,True
58.0,Male,Married,Professional,60900.0,Private,22.8,Mid-size,Own,0.0,4,3,0.0,0.0,8400.0,17900.0,3700.0,No,0.0,743.0,72100.0,30600.0,E-commerce Shopping EMI,163000.0,19,Eligible,12360.0,Eligible,High_Risk,False,True
32.0,Male,Single,Professional,134200.0,Private,0.7,MNC,Rented,43800.0,1,0,0.0,0.0,9800.0,37500.0,13600.0,No,0.0,744.0,1016200.0,542500.0,Personal Loan EMI,238000.0,28,High_Risk,12980.0,High_Risk,Eligible,False,True
38.0,Male,Married,Professional,102900.0,Private,12.1,MNC,Family,0.0,4,3,0.0,8800.0,10600.0,29000.0,19100.0,Yes,18400.0,657.0,66100.0,15300.0,Home Appliances EMI,90000.0,22,High_Risk,4760.0,High_Risk,Not_Eligible,False,True
38.0,Female,Single,High School,50100.0,Government,10.2,Large Indian,Own,0.0,2,1,0.0,0.0,3200.0,7500.0,5600.0,No,0.0,722.0,389000.0,188100.0,Personal Loan EMI,716000.0,53,High_Risk,20449.0,High_Risk,Not_Eligible,False,True
48.0,M,Married,Post Graduate,166200.0,Private,1.9,MNC,Own,0.0,2,1,8000.0,0.0,14900.0,34800.0,26600.0,No,0.0,630.0,667700.0,353800.0,Education EMI,330000.0,11,High_Risk,32760.0,High_Risk,Not_Eligible,False,True
27.0,Male,Single,Graduate,21800.0,Government,0.5,Large Indian,Own,0.0,1,0,0.0,0.0,1100.0,4600.0,3400.0,Yes,3400.0,796.0,53100.0,20800.0,E-commerce Shopping EMI,65000.0,20,High_Risk,3906.0,High_Risk,Not_Eligible,False,True
32.0,Female,Single,Professional,68100.0,Private,2.9,Mid-size,Own,0.0,2,1,10400.0,0.0,9600.0,15800.0,4500.0,No,0.0,664.0,515300.0,290600.0,Vehicle EMI,520000.0,53,Eligible,15290.0,Eligible,High_Risk,False,True
38.0,Male,Married,Post Graduate,67000.0,Private,1.5,MNC,Own,0.0,2,1,0.0,0.0,5200.0,14000.0,6500.0,Yes,12800.0,532.0,169100.0,64500.0,Home Appliances EMI,118000.0,32,High_Risk,4987.5,High_Risk,Not_Eligible,False,True
48.0,Female,Married,Professional,47900.0,Private,1.2,Startup,Rented,7900.0,3,2,0.0,0.0,4200.0,9300.0,8100.0,No,0.0,629.0,287700.0,130300.0,E-commerce Shopping EMI,150000.0,22,High_Risk,8096.0,High_Risk,Not_Eligible,False,True
38.0,Female,Married,Post Graduate,66600.0,Private,3.4,Large Indian,Own,0.0,5,4,0.0,21200.0,9600.0,19700.0,8900.0,No,0.0,697.0,443400.0,202800.0,Vehicle EMI,158000.0,62,High_Risk,3960.0,High_Risk,Eligible,False,True
38.0,Male,Married,Graduate,74800.0,Private,6.5,Mid-size,Rented,0.0,3,2,5100.0,0.0,7400.0,20300.0,8800.0,No,0.0,614.0,467500.0,149100.0,Personal Loan EMI,322000.0,55,Not_Eligible,3080.0,Not_Eligible,Eligible,False,True
27.0,Female,Single,Post Graduate,77300.0,Private,1.4,MNC,Rented,16800.0,2,1,10800.0,0.0,8500.0,16700.0,13700.0,No,0.0,815.0,38700.0,8700.0,Education EMI,118000.0,32,High_Risk,5184.0,High_Risk,Eligible,False,True
38.0,Female,Married,Graduate,68200.0,Private,2.6,Large Indian,Rented,12800.0,4,3,0.0,0.0,9800.0,18600.0,8000.0,No,0.0,766.0,179000.0,79600.0,E-commerce Shopping EMI,123000.0,15,Eligible,11400.0,Eligible,High_Risk,False,True
