age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi,actual_class,predicted_class,prediction_correct,error_type,actual_high_risk,predicted_high_risk
32.0,Male,Married,High School,41500.0,Government,0.5,MNC,Own,8963.0,4,3,13900.0,0.0,4800.0,9700.0,5700.0,No,0.0,731.0,324300.0,85100.0,Education EMI,272000.0,33,Not_Eligible,4070.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,Post Graduate,76000.0,Private,10.1,Large Indian,Rented,15900.0,5,4,0.0,0.0,7000.0,14900.0,12400.0,No,0.0,846.0,578600.0,264400.0,Education EMI,343000.0,8,Not_Eligible,17028.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Post Graduate,94600.0,Government,10.1,Mid-size,Own,0.0,3,2,3900.0,0.0,7400.0,17600.0,7800.0,No,0.0,755.0,366900.0,216200.0,E-commerce Shopping EMI,128000.0,15,Eligible,38214.0,Eligible,Eligible,True,Correct,False,False
38.0,Male,Married,Post Graduate,58900.0,Private,6.8,Large Indian,Own,0.0,5,4,14200.0,0.0,4800.0,14000.0,7600.0,No,0.0,673.0,451200.0,252400.0,Personal Loan EMI,603000.0,42,Not_Eligible,10065.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Single,High School,46700.0,Private,1.7,Startup,Rented,9100.0,2,1,6800.0,0.0,2900.0,13200.0,4400.0,No,0.0,751.0,126000.0,27400.0,Home Appliances EMI,184000.0,22,Not_Eligible,6180.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Female,Married,Graduate,38000.0,Private,1.8,Large Indian,Rented,13000.0,3,2,5900.0,0.0,4500.0,6900.0,5800.0,Yes,11000.0,544.0,168300.0,61100.0,E-commerce Shopping EMI,176000.0,23,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Female,Married,High School,70200.0,Private,1.2,Mid-size,Rented,12100.0,2,1,13400.0,0.0,8200.0,15100.0,11800.0,No,0.0,662.0,533500.0,178800.0,E-commerce Shopping EMI,100000.0,23,High_Risk,5280.0,High_Risk,High_Risk,True,Correct,True,True
27.0,Male,Married,Post Graduate,114200.0,Private,1.7,Small,Own,0.0,2,1,9500.0,0.0,8500.0,17300.0,12600.0,No,0.0,764.0,692700.0,187900.0,E-commerce Shopping EMI,159000.0,3,Not_Eligible,43758.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,High School,43900.0,Self-employed,1.7,Large Indian,Rented,6600.0,3,2,7900.0,0.0,2900.0,7000.0,7300.0,No,0.0,675.0,275900.0,164200.0,Home Appliances EMI,23000.0,9,Eligible,6039.0,Eligible,Eligible,True,Correct,False,False
32.0,Male,Married,Graduate,38300.0,Private,0.5,Large Indian,Own,0.0,4,3,0.0,0.0,3500.0,9700.0,3200.0,No,0.0,771.0,123400.0,62500.0,E-commerce Shopping EMI,132000.0,11,Not_Eligible,10512.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Post Graduate,51700.0,Private,5.5,Mid-size,Own,0.0,3,2,10100.0,0.0,5500.0,10400.0,4500.0,No,0.0,850.0,219400.0,96000.0,Vehicle EMI,1191000.0,12,Not_Eligible,12720.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,Graduate,37800.0,Private,2.2,Startup,Family,0.0,4,3,14100.0,0.0,2800.0,6900.0,2800.0,No,0.0,702.0,275300.0,128300.0,Education EMI,134000.0,33,Eligible,6160.0,Eligible,High_Risk,False,Eligible -> High_Risk,False,True
27.0,Male,Married,Graduate,89400.0,Private,0.5,Large Indian,Rented,18600.0,4,3,9100.0,21000.0,5600.0,16000.0,14700.0,Yes,14200.0,604.0,347800.0,122600.0,Education EMI,79000.0,42,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
27.0,Male,Single,High School,39200.0,Government,4.9,Mid-size,Own,0.0,2,1,5700.0,0.0,4000.0,8400.0,2300.0,Yes,4600.0,672.0,294000.0,130500.0,E-commerce Shopping EMI,167000.0,13,Not_Eligible,6013.7,Not_Eligible,Not_Eligible,True,Correct,False,False
58.0,Male,Married,Graduate,75000.0,Private,4.6,MNC,Rented,21800.0,3,2,0.0,7600.0,6300.0,21200.0,9400.0,No,0.0,696.0,491700.0,110600.0,Personal Loan EMI,349000.0,47,Not_Eligible,4785.0,Not_Eligible,Not_Eligible,True,Correct,False,False
58.0,Male,Married,Post Graduate,23400.0,Private,8.7,Mid-size,Family,0.0,3,2,0.0,0.0,3100.0,5000.0,4100.0,Yes,6700.0,614.0,137400.0,42200.0,Home Appliances EMI,288000.0,27,Not_Eligible,1260.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Married,Professional,100600.0,Government,0.5,MNC,Own,0.0,4,3,9100.0,0.0,5300.0,20100.0,17700.0,No,0.0,646.0,195900.0,278900.0,Vehicle EMI,1294000.0,50,Not_Eligible,21296.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,Professional,27600.0,Private,9.0,Startup,Rented,5300.0,4,3,6400.0,0.0,1800.0,5700.0,3900.0,Yes,8100.0,775.0,54800.0,17400.0,Home Appliances EMI,51000.0,20,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Female,Married,Graduate,21200.0,Government,2.7,MNC,Family,0.0,3,2,4900.0,0.0,3100.0,4600.0,2300.0,No,0.0,746.0,32700.0,11900.0,E-commerce Shopping EMI,125000.0,4,Not_Eligible,2520.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Graduate,87000.0,Private,1.5,Large Indian,Own,0.0,4,3,4400.0,15900.0,6200.0,24200.0,9100.0,No,0.0,753.0,288000.0,87600.0,Vehicle EMI,103000.0,23,Eligible,16320.0,Eligible,Eligible,True,Correct,False,False
48.0,Female,Married,Post Graduate,81400.0,Private,15.3,MNC,Family,10014.0,4,3,0.0,0.0,9500.0,22700.0,12300.0,No,0.0,680.0,250400.0,94200.0,Vehicle EMI,802000.0,36,Not_Eligible,18450.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,Graduate,78000.0,Private,8.5,Startup,Own,0.0,3,2,8800.0,0.0,10100.0,23200.0,10400.0,Yes,20100.0,724.0,211400.0,124900.0,Home Appliances EMI,270000.0,23,Not_Eligible,1890.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Graduate,70500.0,Private,3.3,MNC,Own,0.0,3,2,0.0,0.0,7800.0,19400.0,4700.0,No,0.0,815.0,41900.0,13000.0,Personal Loan EMI,465000.0,38,High_Risk,18528.0,High_Risk,Eligible,False,High_Risk -> Eligible,True,False
48.0,Female,Single,Post Graduate,20200.0,Self-employed,21.1,Startup,Family,0.0,2,1,0.0,0.0,2900.0,4200.0,2500.0,No,0.0,850.0,86800.0,47700.0,Vehicle EMI,182000.0,52,Eligible,5724.0,Eligible,High_Risk,False,Eligible -> High_Risk,False,True
38.0,Male,Married,Graduate,46300.0,Private,1.7,MNC,Rented,15200.0,5,4,0.0,0.0,5700.0,12700.0,4600.0,No,0.0,677.0,168300.0,86700.0,Education EMI,294000.0,24,Not_Eligible,4050.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,Post Graduate,97500.0,Private,22.0,Mid-size,Rented,30000.0,5,4,0.0,5200.0,6100.0,27100.0,15800.0,No,0.0,755.0,556600.0,249300.0,E-commerce Shopping EMI,76000.0,3,Not_Eligible,7980.0,Not_Eligible,Not_Eligible,True,Correct,False,False
27.0,Male,Married,Graduate,85200.0,Private,1.7,MNC,Family,0.0,4,3,9400.0,0.0,7500.0,21400.0,16000.0,No,0.0,699.0,535300.0,271600.0,E-commerce Shopping EMI,35000.0,22,Eligible,16995.0,Eligible,Eligible,True,Correct,False,False
38.0,Female,Single,Graduate,15000.0,Private,6.2,Large Indian,Own,0.0,1,0,0.0,0.0,1800.0,3600.0,1300.0,No,0.0,696.0,95500.0,46000.0,Personal Loan EMI,759000.0,21,Not_Eligible,4565.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,Graduate,22500.0,Private,0.8,Large Indian,Family,0.0,3,2,2800.0,0.0,1700.0,5600.0,2700.0,Yes,5500.0,709.0,131400.0,58200.0,E-commerce Shopping EMI,170000.0,20,Not_Eligible,1176.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Married,Graduate,59000.0,Private,1.8,MNC,Rented,11700.0,4,3,0.0,0.0,5200.0,15500.0,3100.0,No,0.0,617.0,251600.0,111800.0,Vehicle EMI,1390000.0,42,Not_Eligible,9400.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,High School,32500.0,Private,8.3,Startup,Family,0.0,4,3,0.0,0.0,3800.0,7600.0,2500.0,No,0.0,796.0,113500.0,37600.0,Home Appliances EMI,159000.0,33,Eligible,11160.0,Eligible,Eligible,True,Correct,False,False
32.0,Male,Married,Graduate,61700.0,Government,5.9,MNC,Rented,9500.0,4,3,0.0,0.0,4800.0,13200.0,3900.0,No,0.0,804.0,71000.0,17700.0,Education EMI,234000.0,18,High_Risk,15998.4,High_Risk,High_Risk,True,Correct,True,True
58.0,Male,Married,High School,34200.0,Private,6.0,Mid-size,Own,0.0,5,4,5400.0,17200.0,3500.0,6400.0,5900.0,Yes,10200.0,671.0,183900.0,57300.0,Personal Loan EMI,390000.0,60,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Single,Professional,152000.0,Private,3.7,Mid-size,Own,0.0,2,1,3700.0,10800.0,18600.0,30900.0,29400.0,No,0.0,607.0,487300.0,135200.0,E-commerce Shopping EMI,32000.0,17,Eligible,23440.0,Eligible,Eligible,True,Correct,False,False
32.0,Male,Single,Graduate,20000.0,Private,0.5,MNC,Rented,6100.0,1,0,0.0,0.0,2300.0,5100.0,2100.0,No,0.0,653.0,123500.0,68800.0,Education EMI,352000.0,17,Not_Eligible,1936.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Married,Graduate,49800.0,Government,3.6,Startup,Rented,14300.0,3,2,3600.0,0.0,3200.0,10000.0,4800.0,No,0.0,693.0,138600.0,29800.0,Education EMI,190000.0,26,Not_Eligible,7645.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Graduate,57500.0,Private,6.1,Mid-size,Own,0.0,3,2,10700.0,0.0,8600.0,11400.0,11200.0,No,0.0,775.0,195900.0,85200.0,Personal Loan EMI,160000.0,38,Eligible,10296.0,Eligible,Eligible,True,Correct,False,False
38.0,Male,Married,Post Graduate,45400.0,Private,11.5,Large Indian,Own,0.0,4,3,0.0,0.0,3200.0,7600.0,7200.0,Yes,6500.0,636.0,124100.0,30600.0,Personal Loan EMI,968000.0,42,Not_Eligible,5852.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Single,Graduate,21000.0,Private,2.9,MNC,Family,17029.0,1,0,0.0,0.0,2900.0,5500.0,3500.0,No,0.0,718.0,64800.0,22500.0,E-commerce Shopping EMI,15000.0,17,Eligible,4550.0,Eligible,Eligible,True,Correct,False,False
32.0,Male,Single,Graduate,56300.0,Private,10.0,Mid-size,Own,0.0,2,1,14600.0,11500.0,3200.0,10700.0,7600.0,Yes,7400.0,648.0,126900.0,67500.0,Personal Loan EMI,699000.0,14,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Single,High School,51200.0,Private,14.4,Startup,Own,0.0,1,0,0.0,0.0,6500.0,9500.0,8800.0,No,0.0,627.0,28900.0,11000.0,Home Appliances EMI,40000.0,29,Eligible,8448.0,Eligible,Eligible,True,Correct,False,False
32.0,Female,Single,Post Graduate,72200.0,Private,6.3,Large Indian,Rented,13600.0,2,1,0.0,22700.0,8200.0,20800.0,6300.0,No,0.0,720.0,103400.0,36800.0,Personal Loan EMI,941000.0,24,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,High School,21400.0,Government,26.0,Startup,Own,0.0,3,2,0.0,0.0,2800.0,3800.0,1600.0,Yes,3900.0,791.0,145500.0,82500.0,Vehicle EMI,914000.0,44,Not_Eligible,4726.26,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Married,High School,77300.0,Private,2.1,MNC,Rented,25800.0,3,2,0.0,0.0,10500.0,22000.0,7900.0,No,0.0,673.0,260200.0,57300.0,E-commerce Shopping EMI,146000.0,6,Not_Eligible,5550.0,Not_Eligible,Not_Eligible,True,Correct,False,False
37.0,Male,Married,High School,47483.0,Government,9.6,MNC,Family,0.0,4,3,14200.0,15300.0,6700.0,14000.0,4100.0,No,0.0,850.0,153500.0,58100.0,E-commerce Shopping EMI,143000.0,18,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
27.0,Female,Single,Graduate,43400.0,Private,2.2,Large Indian,Family,0.0,2,1,0.0,0.0,5700.0,10800.0,8500.0,No,0.0,788.0,37200.0,14800.0,Vehicle EMI,1340000.0,39,Not_Eligible,8832.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,Graduate,64800.0,Private,1.3,Mid-size,Rented,16600.0,2,1,0.0,0.0,5100.0,16900.0,12300.0,No,0.0,660.0,136000.0,63800.0,Home Appliances EMI,195000.0,27,Not_Eligible,6950.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Single,Graduate,41700.0,Private,1.1,Large Indian,Rented,6600.0,2,1,8100.0,8100.0,4700.0,7800.0,6500.0,Yes,12400.0,627.0,260800.0,119300.0,Home Appliances EMI,189000.0,34,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,Post Graduate,92000.0,Private,0.8,MNC,Family,0.0,2,1,3700.0,0.0,8000.0,22500.0,11800.0,Yes,18600.0,647.0,124100.0,45300.0,Education EMI,150000.0,30,Not_Eligible,4910.08,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Post Graduate,92600.0,Government,2.4,MNC,Own,0.0,2,1,0.0,0.0,8600.0,20500.0,10700.0,No,0.0,775.0,155100.0,33800.0,Personal Loan EMI,104000.0,49,Eligible,25344.0,Eligible,Eligible,True,Correct,False,False
27.0,Female,Single,Post Graduate,104800.0,Government,2.3,Mid-size,Rented,18400.0,1,0,0.0,0.0,11000.0,19400.0,16800.0,Yes,27500.0,741.0,249600.0,117900.0,Vehicle EMI,966000.0,30,Not_Eligible,4095.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,Graduate,40600.0,Government,1.6,MNC,Own,0.0,4,3,14500.0,0.0,4600.0,9300.0,8000.0,Yes,4500.0,687.0,73900.0,43100.0,Home Appliances EMI,139000.0,12,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,Graduate,43900.0,Private,26.0,Large Indian,Own,0.0,3,2,2200.0,12100.0,4800.0,7800.0,2200.0,Yes,6500.0,702.0,130200.0,46200.0,Vehicle EMI,355000.0,76,Not_Eligible,2905.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Female,Married,Post Graduate,57700.0,Government,1.3,Large Indian,Own,0.0,3,2,11100.0,10300.0,7200.0,10000.0,11300.0,No,0.0,770.0,268200.0,75300.0,Home Appliances EMI,242000.0,19,Not_Eligible,4680.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,Graduate,51500.0,Private,23.1,MNC,Own,0.0,4,3,4500.0,0.0,4100.0,12400.0,7500.0,No,0.0,631.0,87400.0,28300.0,Home Appliances EMI,25000.0,12,Eligible,7360.0,Eligible,Eligible,True,Correct,False,False
38.0,Male,Married,Graduate,52300.0,Government,4.1,MNC,Rented,17100.0,3,2,0.0,0.0,7400.0,11900.0,3800.0,No,0.0,757.0,202500.0,105600.0,Home Appliances EMI,120000.0,23,Eligible,7986.0,Eligible,Eligible,True,Correct,False,False
38.0,Male,Married,Graduate,45100.0,Private,14.1,Mid-size,Own,0.0,3,2,8600.0,0.0,5800.0,8200.0,7700.0,No,0.0,692.0,286400.0,74200.0,Home Appliances EMI,72000.0,33,Eligible,8140.0,Eligible,Eligible,True,Correct,False,False
27.0,Female,Single,Graduate,35500.0,Private,0.8,MNC,Own,0.0,1,0,0.0,0.0,2300.0,5800.0,3800.0,No,0.0,571.0,259200.0,59300.0,E-commerce Shopping EMI,131000.0,16,Not_Eligible,8307.2,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Female,Married,Graduate,50900.0,Government,12.7,Startup,Family,0.0,2,1,10800.0,0.0,4100.0,12900.0,9900.0,No,0.0,728.0,228400.0,89300.0,Home Appliances EMI,287000.0,28,Not_Eligible,7260.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Single,Graduate,22800.0,Private,5.5,Mid-size,Rented,7600.0,2,1,13900.0,5800.0,2600.0,6500.0,1400.0,No,0.0,796.0,35700.0,20200.0,Home Appliances EMI,206000.0,28,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Married,Graduate,29100.0,Self-employed,3.7,MNC,Family,0.0,3,2,0.0,0.0,2900.0,6800.0,3000.0,No,0.0,807.0,54200.0,30100.0,Education EMI,360000.0,31,Not_Eligible,7084.8,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,High School,46600.0,Private,0.5,Large Indian,Family,0.0,3,2,2000.0,0.0,6900.0,12600.0,7100.0,Yes,10800.0,576.0,253900.0,121600.0,Vehicle EMI,304000.0,15,Not_Eligible,1612.8,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Professional,178500.0,Private,1.4,Startup,Rented,39400.0,5,4,0.0,0.0,21700.0,28700.0,19800.0,No,0.0,692.0,252900.0,67000.0,E-commerce Shopping EMI,178000.0,19,Eligible,27560.0,Eligible,Eligible,True,Correct,False,False
48.0,Female,Married,Graduate,62000.0,Private,23.1,Mid-size,Own,0.0,3,2,0.0,16300.0,8900.0,16200.0,8500.0,No,0.0,693.0,259200.0,63400.0,Home Appliances EMI,229000.0,22,Not_Eligible,6050.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Female,Married,High School,55700.0,Self-employed,3.2,Startup,Own,0.0,3,2,10400.0,6300.0,3000.0,13900.0,3600.0,Yes,9800.0,605.0,182700.0,37900.0,Education EMI,494000.0,23,Not_Eligible,2192.4,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Female,Married,Professional,30400.0,Private,5.6,MNC,Family,0.0,2,1,4000.0,21000.0,4400.0,6100.0,2300.0,Yes,5300.0,591.0,89900.0,24500.0,E-commerce Shopping EMI,16000.0,5,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Professional,90900.0,Private,4.5,Large Indian,Own,0.0,4,3,7300.0,0.0,9800.0,25400.0,12000.0,Yes,16200.0,692.0,450900.0,126900.0,Home Appliances EMI,179000.0,21,Not_Eligible,7070.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,Post Graduate,79700.0,Private,2.2,Large Indian,Own,0.0,2,1,12700.0,0.0,5600.0,12500.0,5600.0,No,0.0,754.0,477400.0,204100.0,Education EMI,345000.0,40,Eligible,25980.0,Eligible,Eligible,True,Correct,False,False
27.0,Male,Married,Graduate,23400.0,Private,1.3,Mid-size,Rented,6900.0,2,1,0.0,0.0,2200.0,6900.0,4600.0,No,0.0,664.0,43400.0,13000.0,Education EMI,210000.0,27,Not_Eligible,1120.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Female,Married,Graduate,81100.0,Private,3.4,Large Indian,Family,0.0,3,2,0.0,0.0,8500.0,16500.0,13100.0,Yes,20700.0,675.0,479300.0,153200.0,Vehicle EMI,896000.0,50,Not_Eligible,7805.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Graduate,90600.0,Private,5.3,Startup,Family,0.0,4,3,9100.0,0.0,9600.0,26800.0,8900.0,Yes,10000.0,813.0,390400.0,192000.0,Home Appliances EMI,188000.0,27,Eligible,11004.0,Eligible,Eligible,True,Correct,False,False
48.0,Female,Married,Post Graduate,60900.0,Private,3.9,MNC,Rented,20700.0,4,3,9200.0,0.0,3700.0,12900.0,12200.0,No,0.0,728.0,218700.0,69700.0,Education EMI,58000.0,16,Not_Eligible,1100.0,Not_Eligible,Not_Eligible,True,Correct,False,False
58.0,Male,Married,Professional,65000.0,Private,13.3,Mid-size,Own,0.0,4,3,8800.0,0.0,6800.0,19100.0,10000.0,No,0.0,771.0,70100.0,26900.0,Home Appliances EMI,97000.0,12,High_Risk,9744.0,High_Risk,High_Risk,True,Correct,True,True
32.0,Female,Married,Post Graduate,68000.0,Private,4.8,Small,Own,0.0,3,2,0.0,0.0,7600.0,11500.0,11100.0,No,0.0,709.0,466700.0,236400.0,Personal Loan EMI,252000.0,48,Eligible,20790.0,Eligible,Eligible,True,Correct,False,False
32.0,Male,Married,Post Graduate,60600.0,Self-employed,7.4,Mid-size,Own,0.0,4,3,4900.0,0.0,7900.0,11000.0,9200.0,No,0.0,668.0,268300.0,112300.0,Home Appliances EMI,259000.0,7,Not_Eligible,12420.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Female,Married,Graduate,90400.0,Private,5.1,Large Indian,Own,0.0,4,3,5900.0,0.0,5300.0,22300.0,13800.0,Yes,19400.0,705.0,673300.0,320700.0,Vehicle EMI,931000.0,60,Not_Eligible,9124.5,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,High School,25400.0,Private,0.8,MNC,Rented,7900.0,2,1,0.0,6600.0,1400.0,5500.0,2400.0,No,0.0,713.0,187900.0,107900.0,Vehicle EMI,685000.0,15,Not_Eligible,704.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Single,Post Graduate,76800.0,Private,4.7,Mid-size,Own,0.0,3,2,12000.0,0.0,7600.0,14200.0,14600.0,Yes,10800.0,711.0,539700.0,277000.0,Vehicle EMI,916000.0,21,Not_Eligible,6776.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,Professional,44800.0,Private,1.4,Startup,Own,0.0,3,2,0.0,19000.0,4800.0,13300.0,6500.0,No,0.0,651.0,117600.0,66600.0,Vehicle EMI,639000.0,27,Not_Eligible,600.0,Not_Eligible,Not_Eligible,True,Correct,False,False
58.0,Male,Married,Post Graduate,60600.0,Government,9.2,Large Indian,Rented,13600.0,2,1,0.0,15900.0,3100.0,13400.0,9200.0,No,0.0,850.0,408700.0,123300.0,Personal Loan EMI,124000.0,30,Not_Eligible,3920.4,Not_Eligible,Not_Eligible,True,Correct,False,False
27.0,Male,Married,Graduate,52400.0,Government,0.9,Large Indian,Own,0.0,4,3,2600.0,19900.0,7800.0,14300.0,8400.0,Yes,13800.0,767.0,114700.0,67100.0,Vehicle EMI,791000.0,36,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Female,Married,Graduate,25600.0,Private,10.4,Mid-size,Family,0.0,4,3,0.0,0.0,1500.0,5900.0,3500.0,Yes,5200.0,637.0,99500.0,34700.0,Vehicle EMI,1468000.0,83,Not_Eligible,2660.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Female,Married,Professional,109800.0,Private,2.4,Large Indian,Rented,26100.0,4,3,5200.0,14900.0,9700.0,24800.0,19300.0,Yes,22200.0,755.0,460400.0,219300.0,Personal Loan EMI,240000.0,44,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Single,Graduate,59800.0,Self-employed,2.3,Large Indian,Own,0.0,2,1,13400.0,0.0,5600.0,16200.0,5700.0,No,0.0,688.0,62200.0,24400.0,Vehicle EMI,864000.0,32,Not_Eligible,6804.0,Not_Eligible,Not_Eligible,True,Correct,False,False
48.0,Male,Married,Graduate,66500.0,Private,14.2,Large Indian,Own,0.0,2,1,2500.0,0.0,9200.0,15300.0,12800.0,Yes,9500.0,696.0,293200.0,83700.0,Vehicle EMI,245000.0,44,Not_Eligible,6020.0,Not_Eligible,Not_Eligible,True,Correct,False,False
