age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi,actual_max_monthly_emi,predicted_max_monthly_emi,absolute_error,signed_error
38.0,Female,Married,Professional,134800.0,Private,9.6,MNC,Own,0.0,2,1,13900.0,0.0,11700.0,35800.0,8900.0,No,0.0,701.0,275400.0,115400.0,Home Appliances EMI,92000.0,36,Eligible,38700.0,38700.0,30963.297,7736.703125,-7736.703125
32.0,Male,Married,Professional,135200.0,Private,1.2,Mid-size,Own,0.0,3,2,10000.0,0.0,7800.0,22700.0,21500.0,No,0.0,761.0,195900.0,141300.0,Education EMI,227000.0,9,Eligible,43920.0,43920.0,36191.2,7728.80078125,-7728.80078125
27.0,Female,Single,Post Graduate,109900.0,Private,1.0,Mid-size,Own,0.0,1,0,0.0,0.0,6200.0,23300.0,8300.0,No,0.0,790.0,222500.0,81200.0,Vehicle EMI,294000.0,81,Eligible,43260.0,43260.0,36434.863,6825.13671875,-6825.13671875
38.0,Female,Married,Graduate,51700.0,Private,15.2,MNC,Rented,21800.0,5,4,0.0,0.0,10100.0,14800.0,12000.0,No,0.0,823.0,567200.0,195300.0,Personal Loan EMI,259000.0,22,High_Risk,17292.0,17292.0,10538.859,6753.140625,-6753.140625
32.0,Female,Married,Professional,152900.0,Private,0.6,Mid-size,Family,0.0,2,1,7500.0,0.0,8900.0,27100.0,11400.0,Yes,28600.0,799.0,303600.0,130200.0,Home Appliances EMI,238000.0,25,Eligible,18654.72,18654.72,25301.188,6646.467499999999,6646.467499999999
27.0,Female,Single,Post Graduate,125800.0,Government,0.6,Large Indian,Family,0.0,1,0,0.0,0.0,7400.0,26600.0,22200.0,No,0.0,825.0,195900.0,395200.0,Personal Loan EMI,707000.0,49,Eligible,45936.0,45936.0,39340.53,6595.46875,-6595.46875
38.0,Male,Married,Graduate,51700.0,Private,10.8,MNC,Family,0.0,2,1,2300.0,0.0,3600.0,9100.0,2400.0,No,0.0,762.0,143500.0,56000.0,Vehicle EMI,1139000.0,52,Not_Eligible,9540.0,9540.0,15973.531,6433.53125,6433.53125
32.0,Female,Single,Post Graduate,164600.0,Government,0.5,MNC,Family,0.0,2,1,5300.0,0.0,17200.0,46900.0,28100.0,No,0.0,850.0,966200.0,272100.0,Education EMI,414000.0,48,Eligible,40260.0,40260.0,46603.93,6343.9296875,6343.9296875
27.0,Female,Single,Graduate,51700.0,Government,0.5,Large Indian,Rented,19200.0,2,1,8600.0,0.0,6400.0,10700.0,7200.0,No,0.0,806.0,344500.0,128200.0,Home Appliances EMI,260000.0,22,Not_Eligible,7320.0,7320.0,984.6258,6335.374206542969,-6335.374206542969
38.0,Male,Married,Professional,51700.0,Private,9.4,MNC,Own,0.0,4,3,11700.0,0.0,15300.0,33400.0,19300.0,No,0.0,731.0,448000.0,251700.0,Education EMI,483000.0,36,Not_Eligible,15800.0,15800.0,22002.168,6202.16796875,6202.16796875
48.0,Male,Married,Graduate,82100.0,Private,12.2,Mid-size,Rented,0.0,5,4,0.0,0.0,10500.0,19600.0,15800.0,No,0.0,644.0,206800.0,46600.0,Home Appliances EMI,25000.0,8,Not_Eligible,3000.0,3000.0,9011.68,6011.6796875,6011.6796875
48.0,Female,Married,Professional,175500.0,Private,5.8,Small,Family,0.0,2,1,10700.0,0.0,20900.0,40700.0,32300.0,No,0.0,763.0,339600.0,112800.0,Education EMI,62000.0,41,Eligible,34032.0,34032.0,39910.355,5878.35546875,5878.35546875
48.0,Female,Married,High School,51700.0,Private,6.9,MNC,Family,0.0,4,3,0.0,6700.0,4900.0,11300.0,5900.0,No,0.0,699.0,258300.0,154800.0,Home Appliances EMI,39000.0,29,Eligible,5885.0,5885.0,11749.896,5864.896484375,5864.896484375
27.0,Male,Single,Post Graduate,108600.0,Private,1.8,Large Indian,Own,0.0,2,1,0.0,0.0,6100.0,21800.0,8200.0,No,0.0,673.0,218000.0,89100.0,E-commerce Shopping EMI,151000.0,10,Eligible,36250.0,36250.0,30423.656,5826.34375,-5826.34375
33.0,Male,Married,Post Graduate,51700.0,Self-employed,1.7,MNC,Own,0.0,2,1,11700.0,20300.0,9700.0,17900.0,8900.0,No,0.0,795.0,573500.0,174100.0,Education EMI,345000.0,20,Not_Eligible,19440.0,19440.0,13660.848,5779.15234375,-5779.15234375
32.0,Male,Married,Graduate,104500.0,Government,6.8,Startup,Family,0.0,3,2,0.0,0.0,12700.0,18300.0,20600.0,No,0.0,701.0,519000.0,129800.0,Education EMI,469000.0,45,Eligible,34914.0,34914.0,29222.137,5691.86328125,-5691.86328125
48.0,Male,Married,Post Graduate,51700.0,Private,1.0,Large Indian,Rented,21100.0,4,3,14300.0,15200.0,4600.0,25900.0,10300.0,No,0.0,711.0,344200.0,70500.0,E-commerce Shopping EMI,162000.0,17,Not_Eligible,500.0,500.0,6158.2617,5658.26171875,5658.26171875
38.0,Female,Married,Graduate,51700.0,Private,5.4,MNC,Family,0.0,3,2,2800.0,0.0,3600.0,8300.0,5900.0,No,0.0,691.0,89000.0,52500.0,Personal Loan EMI,909000.0,31,Not_Eligible,5800.0,5800.0,11382.806,5582.8056640625,5582.8056640625
27.0,Female,Married,Graduate,112400.0,Government,0.8,Startup,Family,0.0,3,2,0.0,0.0,15900.0,30900.0,8000.0,No,0.0,701.0,413800.0,151100.0,E-commerce Shopping EMI,158000.0,12,Eligible,34560.0,34560.0,29000.967,5559.033203125,-5559.033203125
27.0,Female,Single,Post Graduate,148000.0,Government,0.5,Mid-size,Own,23545.0,1,0,0.0,0.0,9100.0,37700.0,21700.0,No,0.0,808.0,634600.0,280500.0,Personal Loan EMI,296000.0,48,Eligible,47700.0,47700.0,42146.473,5553.52734375,-5553.52734375
38.0,Male,Married,Graduate,51700.0,Private,12.6,Mid-size,Family,0.0,3,2,11400.0,0.0,4400.0,13700.0,10000.0,Yes,12100.0,617.0,101600.0,22300.0,Home Appliances EMI,159000.0,12,Not_Eligible,6563.2,6563.2,1023.45526,5539.744738769531,-5539.744738769531
32.0,Male,Married,Graduate,51700.0,Private,6.3,Large Indian,Rented,7200.0,3,2,6600.0,0.0,3000.0,10400.0,6500.0,No,0.0,698.0,211500.0,126900.0,Home Appliances EMI,99000.0,22,Not_Eligible,2650.0,2650.0,8177.275,5527.27490234375,5527.27490234375
27.0,Male,Single,Graduate,51700.0,Private,0.6,Mid-size,Rented,11000.0,2,1,0.0,7100.0,3800.0,8300.0,5000.0,No,0.0,669.0,190300.0,102200.0,Personal Loan EMI,344000.0,34,Not_Eligible,500.0,500.0,5998.4644,5498.46435546875,5498.46435546875
38.0,Female,Married,Graduate,51700.0,Private,7.5,Startup,Rented,7200.0,3,2,0.0,5500.0,4200.0,8600.0,2400.0,No,0.0,672.0,119600.0,65300.0,Personal Loan EMI,239000.0,47,Not_Eligible,2000.0,2000.0,7490.863,5490.86279296875,5490.86279296875
32.0,Female,Married,Post Graduate,169200.0,Private,9.3,Startup,Rented,30200.0,3,2,0.0,0.0,22900.0,32600.0,17500.0,No,0.0,792.0,327800.0,189300.0,Education EMI,276000.0,28,Eligible,31680.0,31680.0,37140.26,5460.26171875,5460.26171875
32.0,Male,Married,Graduate,51700.0,Private,5.4,MNC,Family,0.0,5,4,9600.0,0.0,2000.0,7300.0,5100.0,No,0.0,561.0,156900.0,33900.0,Education EMI,116000.0,10,Not_Eligible,1520.0,1520.0,6951.367,5431.3671875,5431.3671875
32.0,Male,Married,Post Graduate,51700.0,Private,9.2,MNC,Own,0.0,4,3,13300.0,0.0,11400.0,17700.0,13600.0,Yes,16000.0,771.0,189400.0,54500.0,Personal Loan EMI,656000.0,57,Not_Eligible,8971.2,8971.2,3600.0613,5371.138720703126,-5371.138720703126
32.0,Male,Married,Post Graduate,51700.0,Private,0.6,Large Indian,Family,0.0,2,1,12900.0,19200.0,7800.0,18400.0,13800.0,No,0.0,642.0,381800.0,106800.0,Education EMI,183000.0,28,Not_Eligible,500.0,500.0,5787.244,5287.244140625,5287.244140625
48.0,Male,Married,Professional,90800.0,Government,5.1,MNC,Family,0.0,4,3,0.0,0.0,6400.0,14800.0,15300.0,No,0.0,701.0,333700.0,82900.0,Vehicle EMI,782000.0,13,Not_Eligible,35838.0,35838.0,30570.752,5267.248046875,-5267.248046875
32.0,Female,Single,Post Graduate,51700.0,Private,0.5,Mid-size,Family,0.0,2,1,0.0,16700.0,2600.0,7800.0,2600.0,No,0.0,728.0,149400.0,32500.0,Education EMI,426000.0,10,Not_Eligible,500.0,500.0,5756.0063,5256.00634765625,5256.00634765625
48.0,Male,Married,Post Graduate,159500.0,Government,4.6,MNC,Own,0.0,4,3,0.0,0.0,16000.0,24400.0,16000.0,No,0.0,653.0,168800.0,36300.0,Personal Loan EMI,979000.0,42,Eligible,45364.0,45364.0,40184.227,5179.7734375,-5179.7734375
27.0,Male,Single,Professional,51700.0,Government,0.5,Mid-size,Rented,10500.0,1,0,0.0,0.0,7200.0,15300.0,6200.0,No,0.0,690.0,401600.0,159500.0,Vehicle EMI,1130000.0,54,Not_Eligible,12485.0,12485.0,7322.472,5162.52783203125,-5162.52783203125
38.0,Male,Single,High School,51700.0,Private,8.6,Large Indian,Family,0.0,2,1,5500.0,0.0,3500.0,9800.0,8300.0,No,0.0,685.0,97100.0,48100.0,E-commerce Shopping EMI,158000.0,12,High_Risk,15280.0,15280.0,10162.978,5117.0224609375,-5117.0224609375
38.0,Male,Married,Professional,105400.0,Government,0.5,Startup,Family,0.0,5,4,10000.0,0.0,13000.0,22200.0,12700.0,No,0.0,701.0,438700.0,149600.0,Personal Loan EMI,435000.0,57,Eligible,28500.0,28500.0,23395.371,5104.62890625,-5104.62890625
32.0,Male,Single,Graduate,38700.0,Private,3.3,MNC,Own,0.0,1,0,0.0,0.0,5500.0,9100.0,4300.0,No,0.0,701.0,180100.0,107100.0,Personal Loan EMI,753000.0,14,Not_Eligible,4950.0,4950.0,10045.594,5095.59375,5095.59375
58.0,Male,Married,Professional,51700.0,Government,36.0,Large Indian,Family,0.0,3,2,6100.0,0.0,11200.0,31400.0,8900.0,Yes,15200.0,836.0,466100.0,155000.0,Vehicle EMI,1339000.0,77,Not_Eligible,18064.2,18064.2,12970.818,5093.381640625001,-5093.381640625001
48.0,Male,Married,Post Graduate,116600.0,Government,3.7,MNC,Family,0.0,3,2,11300.0,0.0,10900.0,31500.0,19800.0,No,0.0,701.0,272200.0,110400.0,Education EMI,382000.0,39,Eligible,28446.0,28446.0,23354.527,5091.47265625,-5091.47265625
48.0,Male,Married,Post Graduate,94100.0,Private,2.1,MNC,Family,0.0,3,2,4700.0,0.0,6200.0,27600.0,15000.0,No,0.0,701.0,201800.0,89800.0,E-commerce Shopping EMI,121000.0,11,Eligible,24360.0,24360.0,19270.541,5089.458984375,-5089.458984375
38.0,Male,Married,Graduate,86000.0,Private,3.9,Mid-size,Own,0.0,3,2,0.0,0.0,9500.0,15900.0,12100.0,No,0.0,701.0,324200.0,156100.0,Vehicle EMI,243000.0,45,Eligible,29100.0,29100.0,24041.715,5058.28515625,-5058.28515625
32.0,Male,Married,Professional,51700.0,Government,1.3,MNC,Rented,18900.0,3,2,0.0,0.0,6800.0,10800.0,5900.0,No,0.0,695.0,472800.0,144900.0,Education EMI,199000.0,47,Eligible,14465.0,14465.0,9421.065,5043.9345703125,-5043.9345703125
47.0,Male,Married,Professional,109303.0,Government,0.5,MNC,Family,0.0,5,4,0.0,12800.0,14600.0,28800.0,15000.0,No,0.0,701.0,340500.0,172500.0,Vehicle EMI,202000.0,15,Eligible,24000.0,24000.0,18969.85,5030.150390625,-5030.150390625
27.0,Female,Single,Post Graduate,108300.0,Government,0.5,Large Indian,Own,22397.0,3,2,0.0,8600.0,12100.0,30100.0,7200.0,No,0.0,829.0,683600.0,206000.0,Vehicle EMI,215000.0,30,Eligible,33198.0,33198.0,28201.826,4996.173828125,-4996.173828125
48.0,Female,Married,High School,51700.0,Government,6.7,Small,Family,0.0,3,2,0.0,0.0,5300.0,9500.0,3400.0,No,0.0,769.0,271300.0,110300.0,E-commerce Shopping EMI,164000.0,8,Not_Eligible,16770.6,16770.6,21663.576,4892.9761718750015,4892.9761718750015
48.0,Male,Married,Graduate,95300.0,Private,4.4,Large Indian,Family,19208.0,4,3,0.0,0.0,13700.0,17800.0,7800.0,No,0.0,765.0,582600.0,290900.0,E-commerce Shopping EMI,50000.0,13,Eligible,36960.0,36960.0,32079.975,4880.025390625,-4880.025390625
48.0,Male,Married,Professional,51700.0,Self-employed,17.1,MNC,Rented,29400.0,2,1,12100.0,0.0,15900.0,31300.0,13800.0,Yes,12800.0,678.0,163400.0,66200.0,Personal Loan EMI,404000.0,35,Not_Eligible,500.0,500.0,5356.8735,4856.87353515625,4856.87353515625
48.0,Male,Married,Professional,172200.0,Government,0.5,MNC,Own,0.0,2,1,0.0,0.0,13000.0,36000.0,30600.0,No,0.0,793.0,236200.0,120700.0,E-commerce Shopping EMI,120000.0,15,Eligible,44448.0,44448.0,39605.29,4842.7109375,-4842.7109375
38.0,Male,Married,Professional,86700.0,Private,2.9,Small,Own,0.0,3,2,3100.0,0.0,5700.0,14300.0,17300.0,No,0.0,547.0,369300.0,219200.0,Vehicle EMI,842000.0,59,Not_Eligible,11575.0,11575.0,16350.623,4775.623046875,4775.623046875
38.0,Male,Single,Post Graduate,51700.0,Government,0.5,Mid-size,Family,0.0,1,0,0.0,0.0,10200.0,37200.0,24500.0,Yes,23100.0,615.0,425300.0,141400.0,Vehicle EMI,500000.0,22,Not_Eligible,14756.0,14756.0,10016.089,4739.9111328125,-4739.9111328125
48.0,Male,Married,Graduate,51700.0,Private,4.8,MNC,Family,0.0,3,2,14100.0,0.0,8100.0,10900.0,10700.0,No,0.0,700.0,169200.0,92200.0,Education EMI,238000.0,32,High_Risk,9600.0,9600.0,4875.9604,4724.03955078125,-4724.03955078125
32.0,Male,Single,Professional,125000.0,Self-employed,3.1,Large Indian,Own,0.0,1,0,0.0,0.0,14800.0,27300.0,17800.0,No,0.0,701.0,176600.0,60200.0,E-commerce Shopping EMI,17000.0,21,Eligible,28123.2,28123.2,23414.434,4708.766406250001,-4708.766406250001
48.0,Female,Single,Graduate,69800.0,Private,2.2,Large Indian,Own,0.0,1,0,0.0,0.0,4100.0,17600.0,6000.0,No,0.0,701.0,133900.0,37800.0,Vehicle EMI,123000.0,53,Eligible,13472.0,13472.0,18171.441,4699.44140625,4699.44140625
32.0,Female,Married,Post Graduate,108800.0,Private,0.6,Large Indian,Family,0.0,3,2,11100.0,0.0,6800.0,24300.0,18800.0,No,0.0,548.0,728600.0,225800.0,Home Appliances EMI,151000.0,7,Not_Eligible,10516.0,10516.0,15161.722,4645.7216796875,4645.7216796875
38.0,Male,Single,Professional,51700.0,Private,3.8,MNC,Rented,6500.0,3,2,0.0,0.0,2200.0,8600.0,6300.0,No,0.0,700.0,212500.0,62300.0,Vehicle EMI,781000.0,71,Not_Eligible,4730.0,4730.0,9369.351,4639.3505859375,4639.3505859375
32.0,Female,Married,High School,51700.0,Government,2.0,Mid-size,Own,0.0,4,3,4500.0,0.0,4900.0,11600.0,3600.0,No,0.0,675.0,147600.0,78200.0,E-commerce Shopping EMI,73000.0,4,Not_Eligible,9150.0,9150.0,13788.771,4638.771484375,4638.771484375
27.0,Female,Single,Professional,100400.0,Private,2.0,Startup,Rented,0.0,1,0,0.0,0.0,7700.0,24800.0,18500.0,No,0.0,850.0,564900.0,233800.0,Home Appliances EMI,251000.0,22,Not_Eligible,11700.0,11700.0,16334.367,4634.3671875,4634.3671875
48.0,Female,Married,Graduate,51700.0,Private,8.6,Large Indian,Rented,5900.0,3,2,7200.0,0.0,3300.0,8500.0,6300.0,No,0.0,574.0,179700.0,38100.0,Education EMI,72000.0,29,Not_Eligible,1240.0,1240.0,5861.846,4621.84619140625,4621.84619140625
48.0,Female,Married,Graduate,51700.0,Private,15.5,Startup,Rented,11800.0,2,1,3700.0,0.0,3600.0,10900.0,4200.0,No,0.0,686.0,75200.0,27800.0,Personal Loan EMI,246000.0,14,Not_Eligible,1920.0,1920.0,6413.4077,4493.40771484375,4493.40771484375
48.0,Male,Married,Post Graduate,96000.0,Private,2.8,Large Indian,Own,0.0,2,1,7800.0,0.0,14200.0,22600.0,14200.0,No,0.0,701.0,620400.0,310500.0,E-commerce Shopping EMI,22000.0,11,Eligible,24552.0,24552.0,20080.951,4471.048828125,-4471.048828125
38.0,Male,Married,Professional,103800.0,Self-employed,3.7,Startup,Family,0.0,3,2,0.0,19100.0,6000.0,22300.0,11100.0,No,0.0,701.0,714300.0,312600.0,Vehicle EMI,520000.0,24,High_Risk,26908.2,26908.2,22439.06,4469.139453125001,-4469.139453125001
58.0,Female,Married,Professional,51700.0,Private,4.7,Large Indian,Own,0.0,5,4,11400.0,0.0,6000.0,11300.0,10200.0,Yes,12000.0,642.0,175300.0,72400.0,E-commerce Shopping EMI,188000.0,8,Not_Eligible,5096.0,5096.0,641.9367,4454.063293457031,-4454.063293457031
32.0,Male,Married,Graduate,51700.0,Private,1.9,Large Indian,Family,0.0,4,3,0.0,0.0,5000.0,8800.0,4800.0,Yes,3800.0,669.0,236600.0,55000.0,Home Appliances EMI,202000.0,11,Not_Eligible,4312.0,4312.0,8735.127,4423.126953125,4423.126953125
58.0,Male,Married,Post Graduate,92700.0,Private,11.9,Large Indian,Rented,17900.0,4,3,0.0,0.0,10900.0,15100.0,7800.0,No,0.0,836.0,195900.0,67800.0,Home Appliances EMI,181000.0,21,Eligible,19680.0,19680.0,24092.723,4412.72265625,4412.72265625
38.0,Female,Married,Graduate,51700.0,Private,1.4,Mid-size,Own,0.0,3,2,0.0,0.0,7800.0,15400.0,10400.0,Yes,15400.0,566.0,522300.0,309200.0,Home Appliances EMI,153000.0,26,Not_Eligible,6006.0,6006.0,10310.269,4304.2685546875,4304.2685546875
58.0,Female,Married,Post Graduate,120100.0,Self-employed,6.4,MNC,Family,0.0,2,1,0.0,0.0,13600.0,19600.0,9100.0,No,0.0,849.0,195900.0,83300.0,Personal Loan EMI,339000.0,44,Eligible,42012.0,42012.0,37715.734,4296.265625,-4296.265625
48.0,Female,Married,Graduate,59700.0,Government,0.9,Startup,Rented,0.0,4,3,12600.0,0.0,5500.0,15600.0,5500.0,No,0.0,778.0,380900.0,134000.0,Education EMI,275000.0,21,Not_Eligible,500.0,500.0,4750.99,4250.990234375,4250.990234375
48.0,Male,Married,Professional,111200.0,Government,0.5,MNC,Family,0.0,5,4,0.0,12800.0,14600.0,28800.0,15000.0,No,0.0,701.0,340500.0,172500.0,Vehicle EMI,202000.0,15,Eligible,24000.0,24000.0,19750.023,4249.9765625,-4249.9765625
32.0,Male,Married,Professional,119700.0,Government,1.5,Mid-size,Family,0.0,4,3,12000.0,0.0,17100.0,29000.0,19900.0,No,0.0,701.0,794300.0,354700.0,Vehicle EMI,418000.0,38,Eligible,27522.0,27522.0,23292.482,4229.517578125,-4229.517578125
48.0,M,Single,Post Graduate,59800.0,Government,10.2,Large Indian,Family,0.0,2,1,0.0,0.0,4900.0,11100.0,8100.0,No,0.0,850.0,195900.0,43100.0,Education EMI,57000.0,12,Eligible,18849.6,18849.6,23054.92,4205.3199218750015,4205.3199218750015
32.0,Female,Married,Professional,67300.0,Private,1.3,Large Indian,Rented,0.0,4,3,0.0,0.0,6300.0,17700.0,12100.0,No,0.0,767.0,456600.0,159100.0,Home Appliances EMI,262000.0,33,Not_Eligible,5742.0,5742.0,9941.345,4199.3447265625,4199.3447265625
27.0,Female,Married,Graduate,51700.0,Private,3.2,Startup,Own,0.0,3,2,6700.0,0.0,8200.0,17400.0,7600.0,No,0.0,746.0,106900.0,32100.0,E-commerce Shopping EMI,171000.0,9,Not_Eligible,14360.0,14360.0,10170.264,4189.736328125,-4189.736328125
38.0,Female,Married,Post Graduate,112100.0,Government,1.6,Mid-size,Family,0.0,3,2,0.0,0.0,7100.0,17600.0,13900.0,No,0.0,817.0,208600.0,115900.0,Education EMI,371000.0,33,Eligible,35280.0,35280.0,39469.215,4189.21484375,4189.21484375
38.0,Female,Single,High School,51700.0,Government,1.5,Mid-size,Rented,10300.0,1,0,0.0,0.0,1500.0,4600.0,5700.0,No,0.0,782.0,195900.0,26200.0,Personal Loan EMI,314000.0,21,Not_Eligible,4500.0,4500.0,8679.055,4179.0546875,4179.0546875
48.0,Male,Married,Post Graduate,51700.0,Private,1.0,MNC,Family,0.0,4,3,0.0,0.0,7500.0,14400.0,6500.0,No,0.0,618.0,90400.0,26400.0,Personal Loan EMI,139000.0,38,Eligible,12160.0,12160.0,7991.173,4168.8271484375,-4168.8271484375
58.0,Male,Married,Post Graduate,122000.0,Government,0.5,Startup,Family,0.0,3,2,0.0,5800.0,13000.0,23700.0,7000.0,No,0.0,850.0,252600.0,119500.0,Personal Loan EMI,376000.0,23,Eligible,43500.0,43500.0,39336.22,4163.78125,-4163.78125
27.0,Male,Single,Graduate,51700.0,Private,1.6,MNC,Rented,5800.0,2,1,8800.0,0.0,3500.0,6600.0,2300.0,No,0.0,817.0,88400.0,30800.0,Personal Loan EMI,841000.0,55,Not_Eligible,500.0,500.0,4663.3135,4163.3134765625,4163.3134765625
58.0,Female,Married,Professional,144300.0,Private,4.1,MNC,Family,0.0,3,2,0.0,0.0,11700.0,32300.0,15600.0,No,0.0,704.0,290100.0,76800.0,Home Appliances EMI,112000.0,10,Eligible,42350.0,42350.0,38199.77,4150.23046875,-4150.23046875
38.0,Male,Married,Professional,130900.0,Private,4.6,Large Indian,Own,24169.0,2,1,13700.0,17600.0,10700.0,21200.0,10900.0,No,0.0,769.0,959400.0,353000.0,E-commerce Shopping EMI,128000.0,17,Eligible,37488.0,37488.0,33374.656,4113.34375,-4113.34375
48.0,Female,Single,Post Graduate,51700.0,Private,1.0,Large Indian,Own,0.0,3,2,0.0,0.0,3600.0,12200.0,3700.0,No,0.0,736.0,275800.0,111000.0,Personal Loan EMI,438000.0,17,Not_Eligible,11605.0,11605.0,15680.109,4075.109375,4075.109375
